Project,Symbol,Launch date,Category tags,Price ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),ATH ($),ATL ($),Volume 24h ($),Circulating market cap latest ($),Fully-diluted market cap latest ($),Volume / MC ratio (%),TVL latest ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. TVL ($),30d avg. TVL ($),90d avg. TVL ($),180d avg. TVL ($),Annualized GMV ($),7d total revenue ($),30d total revenue ($),90d total revenue ($),180d total revenue ($),7d change (%),30d change (%),90d change (%),180d change (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d protocol revenue ($),7d change (%),7d trend (%),24h protocol revenue ($),24h change (%),24h trend (%),30d protocol revenue ($),30d change (%),30d trend (%),90d protocol revenue ($),90d change (%),90d trend (%),180d protocol revenue ($),180d change (%),180d trend (%),P/S ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/S ratio (x),30d avg. P/S ratio (x),90d avg. P/S ratio (x),180d avg. P/S ratio (x),P/E ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/E ratio (x),30d avg. P/E ratio (x),90d avg. P/E ratio (x),180d avg. P/E ratio (x),Twitter followers latest
Erasure Protocol,NMR,16/12/2015,DeFi Prediction Market Other,29.31,-5.41,2.24,5.55,-33.82,-25.36,-5.41,9.32,-17.73,-26.61,-19.22,93.15,2.06,45318530.92,173270431.4,322410000,8.46,7806945.49,-0.59,-5.9,-0.04,-39.51,-38.37,,10.27,-20.06,-30.85,,7738971.83,7257961.07,9168987.51,11257494.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33497
Ethereum,ETH,30/07/2015,Blockchain,2922.12,0.33,-3.23,-10.31,-36.24,-2.83,0.33,13.44,-23.1,-1,55.67,4878.26,0.43,10428836937,3.49E+11,,4.73,,,,,,,,,,,,,,,,,170142665.4,1028746083,3697603171,7526383872,-15.53,-68.6,-72.47,11.61,-23.88,-9.37,-0.2,125.68,131134652.7,-100,-26.48,0,-100,-100,889938172.2,-100,-12.63,3266793790,-100,5.29,6479229087,-100,3951.39,2591.31,-0.31,9.38,-0.54,-0.78,-0.31,23.41,-27.3,-32.68,-44.74,2559.49,2222.22,2560.34,3156.82,29.72,-0.31,12.21,2.67,-0.88,-83.54,-0.31,26.77,-29.24,-46.37,,28.92,24.58,28.84,40.55,2218292
Ethereum Name Service,ENS,04/05/2017,DeFi Other,17.32,3.75,-14.21,-32.79,-69.48,,3.75,3.15,-47.47,,,83.4,14.56,40101608.44,396404118.7,1732000000,3.39,,,,,,,,,,,,,,,,,681234.29,3837508.8,14849677.38,25528974.96,-60.37,-18.85,-80.46,93.6,-33.65,-20.99,48.97,358.1,681234.29,-60.37,-33.65,88462.01,-7.32,-7.32,3837508.8,-18.85,-20.99,14849677.38,-80.46,48.97,25528974.96,93.6,358.1,3604.03,0.75,-11.41,-16.01,-55.95,0.75,-0.45,-28.5,,,4095.19,3964.51,5173.89,5552.76,36.04,0.75,-11.41,-16.01,-55.95,,0.75,-0.45,-28.5,,,40.95,39.65,51.74,55.53,
Euler,,01/10/2021,DeFi Lending,,,,,,,,,,,,,,,,,,51113733.36,9.77,22.35,62.03,,,,27.53,34.06,,,45592032.36,34795754.21,28899618.8,28899618.8,17900807.88,38893.47,103288.63,161035.36,161035.36,33.74,303.37,,,94.77,87.87,,,8945.5,33.74,94.77,1610.31,-4.73,-4.73,23756.39,303.37,87.87,37038.13,,,37038.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantom,FTM,27/12/2019,Blockchain,1.95,2.1,-6.97,-35.43,-21.43,396.83,2.1,5.96,10.29,27.39,409.26,3.46,0,424364936.7,4953787925,6191250000,10.34,,,,,,,,,,,,,,,,,820918.45,5998993.12,11701195.05,17088486.16,-43.91,-58.46,12.22,1728.83,39.35,94.35,120.98,9111.79,246275.54,-43.91,39.35,22285.17,-40.33,-40.33,1799697.94,-58.46,94.35,3510358.51,12.22,120.98,5126545.85,1728.83,9111.79,8214.29,0.52,-4.96,-66.16,-68.4,0.52,12.29,-53.11,-73.72,-98.96,8949.12,11346.73,18845.48,44433.57,273.81,0.52,-4.96,-66.16,-68.4,-96.42,0.52,12.29,-53.11,-73.72,-98.96,298.3,378.22,628.18,1481.12,
Fei Protocol,TRIBE,21/03/2021,Asset Management DeFi Stablecoin,0.69,-1.82,-3.09,-43.86,-43.41,4.83,-1.82,4.33,-15.14,21.03,,2.45,0.55,21543266.01,314593410.1,691640000,3.72,392405896.9,-15.24,-13.54,-43.81,-70.05,-58.82,,14.02,-44.91,-19.75,,452180591,495541515.3,852936843.5,963638772.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36418
Filecoin,FIL,08/07/2014,Blockchain,20.84,1.19,-5.61,-27.31,-65.92,-69.98,1.19,12.14,-33.56,-49.87,-38.29,236.84,16.76,260675984.3,3342958111,41071933689,0.83,,,,,,,,,,,,,,,,,782.58,679657.62,4574455.28,66939042.18,83.28,-99.88,-99.88,-99.98,-99.54,-23.59,-92.58,-93.91,0.66,80.83,-100,0.11,-8.45,-8.45,675653.99,-100,-23.48,4552449.15,-100,-92.6,66807974.09,-100,-93.97,410823.4,-0.92,16.75,-3.28,465.9,-0.92,16.22,-32.1,455.97,830.93,394898.69,365989.23,335621.47,196911.92,4129.61,-0.92,16.81,-3.39,468.26,406.02,-0.92,16.16,-32.35,458.93,834.63,3967.42,3680.94,3381.36,1982.25,138602
Futureswap,FST,15/04/2020,DeFi Exchange,1.98,-4.45,-21.41,-47.36,-75.75,-71.25,-4.45,9.54,-21.04,-66.28,,22.66,1.85,331662.1,23447386.34,198000000,0.16,553048.74,-2.74,-1.47,-10,-27.57,-55.55,,3.39,-13.3,-32.38,,566248.6,568384.88,649751.2,804455.25,0,,,,,-95.86,-100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12542
GMX,GMX,01/09/2021,DeFi Exchange,36.43,-0.85,-20.14,-9.85,21.16,,-0.85,2.67,56.67,,,62.1,11.77,6461163.17,267433697.9,482697500,1.98,255517743.3,0.66,12.73,69.08,140.95,12382.01,,16.07,69.81,263.24,,243599428.2,193992017.4,140079154,89566551.37,,1295041.96,6290754.91,14906898.32,20408850.17,75.03,1.09,16.76,,38.36,38.12,,,647520.98,75.03,38.36,80579.6,-40,-40,3145377.45,1.09,38.12,7072679.7,94.61,,9389057.78,,,620.72,1.78,-18.36,-34.14,-34.51,1.78,12.4,-3.93,,,695.85,763.52,808.6,1308.76,12.41,1.78,-18.36,-34.14,-49.79,,1.78,12.4,-9.39,,,13.92,15.27,19.08,28.24,
Harvest Finance,FARM,16/08/2020,Asset Management DeFi,107.73,4.26,-1.13,-16.26,-28.36,-59.21,4.26,9.26,-7.81,-37.51,-3.57,5078.47,40.07,7550413.14,70370952.82,74378946.6,8.85,253001080.7,-7.16,-5.57,1.81,-44.3,-45.8,,20.78,-16.4,-32.45,-17.29,270184610.4,236958706.2,296099302,368862188.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62165
Helium,HNT,20/07/2019,Blockchain Other,27.33,3.42,-9.41,-15.42,-42.65,37.77,3.42,8.54,-21.62,43.57,138.57,54.88,0.11,9988395.14,2751627250,6094590000,0.32,,,,,,,,,,,,,,,,,1015837.88,5069119.1,14797940.04,25651201.35,1.59,-21.37,20.39,53.28,11.03,12.69,37.85,312.67,1015837.88,1.59,11.03,151697.65,-6.58,-6.58,5069119.1,-21.37,12.69,14797940.04,20.39,37.85,25651201.35,53.28,312.67,9482.68,0.49,-10.64,-24.66,-54.92,0.49,6.91,-24.57,-9.42,-70.49,10190.84,10270.37,12603.22,13347.29,94.83,0.49,-10.64,-24.66,-54.92,-37.12,0.49,6.91,-24.57,-9.42,-70.49,101.91,102.7,126.03,133.47,
HurricaneSwap,HCT,02/11/2018,DeFi Exchange,0.01,-0.01,-2.84,-44.84,-93.48,,-0.01,7.87,-70.94,,,0.36,0.01,41575.34,,21313680,0.26,9613062.2,-19.48,-12.89,108.05,-62.99,,,9.67,17.79,,,11200993.57,9289929.61,13147468.72,15275786.99,2911787.18,149.34,713.34,121909.23,543257.54,109.98,111.6,-99.58,,30.75,-88.7,-87.68,,59.73,109.98,30.75,9.94,-8.77,-8.77,285.33,111.6,-88.7,48763.69,-99.58,-87.68,217303.01,,,243993.11,-4.75,73.92,377.7,2712.66,-4.75,145.29,630.59,,,257650.07,123070.32,48661.93,37502.76,6099.83,-4.75,73.92,377.7,2712.66,,-4.75,145.29,630.59,,,6441.25,3076.76,1216.55,937.57,
Idle Finance,IDLE,23/04/2019,Asset Management DeFi,1.5,14.15,-9.9,-25.73,-66.46,-68.24,14.15,12.89,-33.77,-53.22,-58.89,30.65,0.79,43652.74,3989220.16,19500000,0.08,78004794.65,0.17,-0.56,-20.08,-28.57,-60.28,,-1.58,-16.4,-28.27,-33.42,78002609.18,85705213.52,102319540,122164514.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12673
Index Cooperative,INDEX,01/10/2020,Asset Management DeFi,7.2,-6.59,-24.59,-45.39,-72.78,-76.34,-6.59,-4.99,-46.92,-54.48,-19.83,67.08,1.33,325022.02,15698843.46,72000000,0.31,209338764.4,-7.22,-6.83,-28.97,-59.97,-33.15,,16.39,-35.3,-13.65,97.08,228049999.8,225123486.8,340496262.3,369917076.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40286
Instadapp,INST,16/10/2018,DeFi Interoperability Other,1.02,-5.36,-38.14,-60.4,-76.86,-86.43,-5.36,-2.78,-40.82,-47.75,,24.4,0.92,29745.6,18822522.39,101900000,0.01,6859216560,,,-33.53,-46.02,-40.49,,,-32.43,-14.79,141.32,6859216560,7455664556,10246158760,11163120824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32384
Integral Protocol,ITGR,21/04/2021,DeFi Exchange,0.07,-0.89,0.82,-36.67,-80.71,,-0.89,15.4,-43.66,,,3.45,0.05,281395.18,1608622.98,19602000,2,6228419.35,-3.28,-1.25,-26.72,-76.18,-88.41,,7.4,-26.07,-70.11,,6399583.86,6843928.13,10112107.65,22183516.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12440
Karura,KAR,23/06/2021,Blockchain DeFi,1.76,2.86,-17.35,-46.36,-73.66,-78.08,2.86,3.47,-38.64,-54.17,,13.2,1.62,1288655.87,39133205.46,176000000,0.83,,,,,,,,,,,,,,,,,44.51,286.39,1309.67,3802.88,5.88,-39.68,-77.9,-72.54,-14.77,-34.51,-45.84,,44.51,5.88,-14.77,8.1,8.49,8.49,286.39,-39.68,-34.51,1309.67,-77.9,-45.84,3802.88,-72.54,,4793697.1,-0.04,-10.09,-18.7,-8.93,-0.04,14.33,-22.38,-36.78,,5175873.68,4876621.57,5376603.6,6943151.81,47936.97,-0.04,-10.09,-18.7,-8.93,-22.54,-0.04,14.33,-22.38,-36.78,,51758.74,48766.22,53766.04,69431.52,
KeeperDAO,ROOK,18/07/2020,Asset Management DeFi Other,107.94,-0.52,-12.32,-9.8,-44.67,-40.3,-0.52,8.62,-28.29,-28.93,-41.26,838.98,15.61,676435.77,86934421.35,136244134.7,0.41,173577405.8,-3.13,10.36,-7.61,-51.66,-40.5,,25.08,-33.08,-28.78,-15.26,175919944.8,153274994.6,221264655,267675870.4,15630410206,0.13,1.36,3.2,1407632.84,-99.96,133.31,-22.52,-100,31.18,50.08,-100,-95.19,0.13,-99.96,31.18,0,-99.99,-99.99,1.36,133.31,50.08,3.2,-22.52,-100,1407632.84,-100,-95.19,849771795.1,-0.91,-6.9,-39.9,5308558.32,-0.91,19.42,-51.79,30258422.66,57938260.59,940366641.4,938535104.6,1175173724,584306263.9,8497717.95,-0.91,-6.9,-39.9,5308558.32,46506295.24,-0.91,19.42,-51.79,30258422.66,57938260.59,9403666.41,9385351.05,11751737.24,5843062.64,26013
Keep Network,KEEP,27/04/2020,DeFi Interoperability,0.63,-1.89,26.1,-0.35,-23.1,77.25,-1.89,36.57,-22.26,24.25,33.2,6.1,0.18,20772084.96,346826054.8,630067000,8.59,177995001,-3.01,6.04,-5.81,-41.25,-11.04,,19.38,-25.06,-7.4,-13.27,178748189,163436018,212962019.9,222630312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31968
Kusama,KSM,20/09/2019,Blockchain,169.83,4.13,-8.38,-36.27,-58.69,-38.67,4.13,11.95,-27.96,-25.95,-1.34,621.71,0.88,30578285.28,1523291001,1698300000,2.63,,,,,,,,,,,,,,,,4272917545,568.12,3634.71,14534.1,27411.53,-33.23,-73.66,-83.62,4.2,-11.82,-27.44,17.96,-83.95,454.5,-33.23,-11.82,43.13,-20.13,-20.13,2907.77,-73.66,-27.44,11627.28,-83.62,17.96,21929.23,4.2,-83.95,3657702.67,3.16,-4.78,-11.18,-36.76,3.16,23.5,-17.18,-62.96,113.63,3903136.5,3410899.96,3962177.61,7263468.01,45721.28,3.16,-4.78,-11.18,-36.76,-85.88,3.16,23.5,-17.18,-62.96,113.63,48789.21,42636.25,49527.22,90793.35,227879
Kyber,KNC,10/02/2018,DeFi Exchange,1.84,2.45,-9.94,33.21,-3.52,2.13,2.45,4.34,28.4,-11.52,-22.63,2.93,1.11,6891234.13,189048261.9,415840000,7.24,72782666.62,,2.99,-0.35,-46.01,-85.65,,3.26,-7.17,-75.89,58.88,,,,,5510236962,183268.7,941329.93,1922380.79,5417542.93,-23.48,73.99,-8.53,-64.07,-32.19,216.27,-44.87,11.14,18326.87,-23.48,-32.19,2726.91,-10.86,-10.86,94132.99,73.99,216.27,192238.08,-8.53,-59.9,670047.61,-77.22,-69.52,3650.46,-5.3,-20.51,-56.28,-18.13,-5.3,-15.76,5.47,79.63,-32.77,4148.48,6032.99,5228.71,4073.51,365.05,-5.3,-20.51,-56.28,-10.61,156.95,-5.3,-15.76,5.47,134.11,227.84,414.85,603.3,519.78,371.29,207252
Lido Finance,LDO,21/04/2020,Asset Management DeFi Other,1.69,5.19,-17.67,-37,-60.42,-54.76,5.19,0.06,-33.24,-35.53,88.17,7.3,0.51,1674636.08,162152506.6,1690000000,0.09,8869054241,-4.88,-5.2,-19.11,-16.54,104.32,,12.62,-17.57,41.03,508.27,9432683671,9462960422,10451311217,8958437768,,4775442.24,20638404.37,75106580.07,137570128.2,-0.01,-3.94,-23.64,91.18,14.67,-18.53,23,334.14,477544.22,-0.01,14.67,75579.81,-3.5,-3.5,2063840.44,-3.94,-18.53,7510658.01,-23.64,23,13757012.82,91.18,334.14,645.64,4.56,-18.05,-22.91,-59.49,4.56,2.3,-20.53,-62.66,-61.23,750.7,705.79,892.32,1642.92,64.56,4.56,-18.05,-22.91,-59.49,-83.26,4.56,2.3,-20.53,-62.66,-61.23,75.07,70.58,89.23,164.29,60573
Liquity,LQTY,21/04/2020,DeFi Lending,2.66,2.16,-12.12,-57.59,-78.44,-56.65,2.16,-6.12,-30.64,-1.34,,146.94,2.57,899110.55,43153250.74,266000000,0.62,1441303920,-5.44,-4.03,-30.63,-45.06,-34.13,,11.51,-31.85,-3.13,,1518749347,1573323461,2207431430,2248107585,582628521.2,64818.94,991016.75,3507153.01,13331827.05,-82.59,-66.77,-96.19,-97.87,-62.86,13.09,-64.22,,64818.94,-82.59,-62.86,408.15,-63.67,-63.67,991016.75,-66.77,13.09,3507153.01,-96.19,-64.22,13331827.05,-97.87,,2271.83,1.55,-5.68,-62.52,46.03,1.55,-7.37,-13.8,-31.06,,2395.25,3265.59,3176.62,3856.4,22.72,1.55,-5.68,-62.52,46.03,-64.24,1.55,-7.37,-13.8,-31.06,,23.95,32.66,31.77,38.56,25877
Litecoin,LTC,07/10/2011,Blockchain,126.23,2.65,3.22,-7.66,-52.27,-25.04,2.65,17.6,-15.61,-15.99,-12.54,410.26,1.15,602576200.8,8797789306,10603320000,8.1,,,,,,,,,,,,,,,,57117781334,13379.82,56140.49,220365.52,514453.92,12.14,-4.53,-57.64,-18.98,23.33,-14.46,-22.72,-20.86,0,,,0,,,0,,,0,,,0,,,1487227.29,0.1,1.71,7.5,-6.49,0.1,18.35,8.58,-15.93,4.17,1573545.93,1376222.82,1255353.47,1375063.31,,,,,,,,,,,,,,,,917863
Livepeer,LPT,25/03/2017,DeFi Other,27.57,-5.85,-7.6,-22.69,-57.41,49.83,-5.85,17.18,-25.2,63.71,50.95,99.03,0.35,30112843.96,685956443.3,686716289.4,7.28,,,,,,,,,,,,,,,,,4964.85,43968.77,135903.89,262257.17,95.9,78.45,,,-35.09,6.31,11.38,117.01,629.52,95.9,-9.58,53.1,,,7401.74,-10.77,-19.98,27501.63,,5.94,54277.34,,127.87,125838.66,-8.12,-4.59,-22.72,-59.01,-8.12,21.42,-32.33,7.51,-25.84,143374.25,125157.83,171518.39,166407.69,7404.13,-8.12,1.71,3.33,-49.93,-39.44,-8.12,30.19,-25.53,6.48,-31.78,8066.45,6357.62,8235.4,8031.94,25912
LooksRare,LOOKS,01/01/2022,DeFi NFT,2.55,-8.23,-35.96,-36.8,,,-8.23,-27.13,,,,7.1,1.54,67471397.14,615254471.5,2550000000,4.74,,,,,,,,,,,,,,,,1.94E+11,40982932.99,319993892.8,358543339.8,358543339.8,-69.52,-62.37,,,-43.66,394.96,,,39859261.74,-70.21,-43.22,3504580.5,-7.33,-7.33,310063797.6,-62.69,398.9,347203178.7,,,347203178.7,,,63.57,-11.36,-40.31,-86.96,,-11.36,-43.02,,,,87.63,186.5,1570.79,1570.79,0.66,-11.36,-40.4,-87.04,,,-11.36,-43.18,,,,0.9,1.93,25.48,25.48,
Loopring,LRC,02/12/2019,DeFi Exchange,0.95,1.63,-0.99,-36.37,-69.26,205.11,1.63,11.93,-47.32,188.86,200.57,3.75,0.02,164012388.1,1184683113,1309741303,22.79,324357034.5,-5.56,-2.03,-22.98,-25.15,155.09,,8.45,-32.96,222.68,104.92,352997391.3,349941922.2,499554898,327816732.3,2992320193,103293.29,586470.13,3733118.48,6024273.13,39.69,-25,-64.67,72.27,62.57,-53.72,73.46,71.92,44792.14,36.11,59.58,7884.58,,,259118.88,-27,-63.88,1796180.49,-65.74,71.49,2904751.73,27.94,58.21,17508.04,1.52,15.55,39.27,-27.15,1.52,27.18,-11.6,-16.06,75.39,18299.76,12838.1,14087.13,15556.78,395.84,1.52,14.81,77.77,-28.43,50.79,1.52,27,-11.41,-3.11,88.23,415.38,266.61,303.29,311.25,183327
Maiar,MEX,01/11/2021,DeFi Exchange,,,,,,,,,,,,,,,,,,910197040.6,9.75,19.67,2.53,,,,18.39,-25.54,,,825119261.8,747028145,1047139172,1047139172,5876173673,323538.26,1385862.97,8144020.87,8144020.87,76.13,7.49,,,20.91,-50.67,,,53923.04,76.13,20.91,7520.47,-37.78,-37.78,230977.16,7.49,-50.67,1357336.81,,,1357336.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MakerDAO,MKR,18/12/2017,DeFi Lending,2007.1,0.2,-11.09,-4.68,-34.04,-41.74,0.2,2.29,-13.34,-16.06,-11.74,6292.31,168.36,35633722.01,1809072727,2018293597,2.9,16974302422,-3.34,-0.2,1.3,-11.95,96.94,,9.66,-11.01,36.25,87.67,17468049950,15857680053,17457587298,15189231843,9468781054,1563865.39,8721263.59,32547190.27,48010044.77,-7.81,-29.93,-29.14,122.55,-5.97,-23.29,116.3,-3.56,1563678.72,-7.81,-5.97,257364.77,-0.4,-0.4,8720350.72,-29.94,-23.29,32545055.38,-29.15,116.31,48005813,122.56,-3.56,1812.48,-0.69,-4.68,23.11,-47.19,-0.69,10.48,-0.83,-68.07,18.14,1913.07,1610.6,1871.79,3873.97,18.13,-0.69,-4.68,23.12,-47.19,-80.11,-0.69,10.48,-0.82,-68.08,18.15,19.13,16.11,18.72,38.75,196941
Maple Finance,MPL,01/02/2021,DeFi Lending,20.33,-17.65,32.84,44.38,3.66,26.64,-17.65,12.99,-12.59,2.4,,42.8,5.55,10873449.2,78135694.68,203300000,12.05,548445271.3,0.22,1.28,8.51,81.62,466.61,,2.69,3.47,139.81,,545336550,521187784.6,474258226.3,335985261.1,489515660.7,1047184.93,2805624.92,6676590.92,8797363.18,,,,,4.45,118.62,,,122054.79,,198.35,16273.97,,,220633.55,,-20.88,848508.8,,,1403633.8,,,613.24,-18.9,-7.9,-75.47,-64.56,-18.9,-31.02,82.19,-57.36,,569.27,1294.11,1077.05,1809.4,74.87,-18.9,-31.68,-27.37,-21.69,16.81,-18.9,-52.65,223.92,-18.24,,81.9,130.51,81.98,91.45,
MCDEX,MCB,01/09/2021,DeFi Exchange,5.07,-1.43,-22.98,-51.13,-85.79,-78.37,-1.43,-4.22,-50.38,-62.65,36.61,68.36,0.91,469802.86,18170160.17,50700000,0.35,25120190.26,,-8.54,-36.18,-66.09,1527.64,,,,-7.72,3675.87,,,,,658394202.9,7113.06,38613.11,797885.91,5475181.75,-91.05,-76.58,-99.87,,54.89,-43.91,-80.88,,3769.98,-94.47,60.83,32.29,-94.57,-94.57,19049.81,-87.31,-51.46,419793.12,-99.92,-80.76,2852773.24,,,10306.64,-6.69,-3.48,-18.04,1000.03,-6.69,20.17,89.03,,,11841.85,10733.92,5957.22,1549081526,207.56,-6.69,0.95,-5.71,1059.28,,-6.69,25.38,91.73,,,235.16,199.75,110.48,49225379.47,
MetaMask,,01/07/2015,DeFi Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16411856714,2181105.94,11074068.4,56754190.87,103522941.6,-3.78,-25.4,-44.87,-28.77,8.09,-12.79,22.71,108.13,2181105.94,-3.78,8.09,275103.18,-36.36,-36.36,11074068.4,-25.4,-12.79,56754190.87,-44.87,22.71,103522941.6,-28.77,108.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570791
mStable,MTA,20/06/2020,Asset Management DeFi Stablecoin,0.62,0.32,-15.48,-17.95,-52.61,-37.59,0.32,5.26,-0.76,1.62,-48.45,11.03,0.53,819909.29,17757135.62,62362300,1.56,126221491.8,0.41,-0.19,4.25,-25.37,57.28,,4.87,-7.55,36.61,79.11,127165387.7,121260082.3,133482062.2,116139915.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26071
NEAR Protocol,NEAR,01/01/2017,Blockchain,10.8,1.48,-16.09,-44.85,-2.83,190.83,1.48,12.18,0.55,48.3,153.23,20.44,0.53,250327445.4,6850911824,10800000000,4.1,,,,,,,,,,,,,,,,,88875.78,791659.58,1584097.2,1860989.97,-76.05,-77.43,124.62,1163.32,-24.79,36.21,482.1,2626.48,88875.78,-76.05,-24.79,10754.92,-23.08,-23.08,791659.58,-77.43,36.21,1584097.2,124.62,482.1,1860989.97,1163.32,2626.48,104798.92,-0.67,-7.07,-58.18,-84.67,-0.67,15.66,-71.29,-67.09,-90.89,116219.35,123168.07,368563.32,746065.24,1047.99,-0.67,-7.07,-58.18,-84.67,-93.81,-0.67,15.66,-71.29,-67.09,-90.89,1162.19,1231.68,3685.63,7460.65,
Nexus Mutual,NXM,30/05/2019,DeFi Insurance,32.99,-0.63,-8.22,-40.08,-60.91,-54.5,-0.63,3.59,-36.14,-8.93,-3.59,130.82,8.14,795306.62,84657928.95,84661610.19,1.57,453568900,-5.92,-3.11,-10.26,-39.94,-7.9,,12.59,-22.42,-4.76,53.26,478631481,447789208.5,564744622.9,581519003.9,2108421817,114654.92,595735.74,2501876.35,5481055.9,-84.76,156.29,-77.05,-93.29,74.58,-1.24,-13.47,9.33,114654.92,-84.76,74.58,2203,-90.58,-90.58,595735.74,156.29,-1.24,2501876.35,-77.05,-13.47,5481055.9,-93.29,9.33,1184.99,-2.74,-5.57,-33.71,4.79,-2.74,2.87,-10.3,-42.38,2.38,1220.67,1288.38,1228.97,1672.31,11.85,-2.74,-5.57,-33.71,4.79,-59.81,-2.74,2.87,-10.3,-42.38,2.38,12.21,12.88,12.29,16.72,39076
Notional Finance,,16/10/2020,DeFi Exchange,,,,,,,,,,,,,,,,,,429305081.3,-0.92,-6.79,-13.6,199.19,3320.53,,26.11,-23.38,1970.13,,459456604,423761258.5,581943070.8,304093390.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10722
OpenSea,,19/12/2017,DeFi NFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60955860303,74298655.7,432777273.3,974602559.2,1600902303,-31.02,-52.15,11.94,108.28,-33.35,43.62,57.65,1164.64,16977206.27,-15.58,-36.4,2151824.79,-26.82,-26.82,105041539,-45.24,26.73,255790932.7,-12.98,20.41,471605684.5,86.76,955.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimism,,26/03/2018,Blockchain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.74,149.61,458.92,,,,,,,98.74,,,,,,149.61,,,458.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
